title,genres
Boys on the Side,Comedy
"Cure, The",Drama
Castle Freak,Horror
Circle of Friends,Drama
Clerks,Comedy
Don Juan DeMarco,Comedy
Disclosure,Drama
Drop Zone,Action
Destiny Turns on the Radio,Comedy
Death and the Maiden,Drama
Dolores Claiborne,Drama
Dumb & Dumber (Dumb and Dumber),Adventure
Eat Drink Man Woman (Yin shi nan nu),Comedy
Exotica,Drama
Exit to Eden,Comedy
Ed Wood,Comedy
French Kiss,Action
Forget Paris,Comedy
Far From Home: The Adventures of Yellow Dog,Adventure
"Goofy Movie, A",Animation
Hideaway,Thriller
Fluke,Children
Farinelli: il castrato,Drama
Gordy,Children
Hoop Dreams,Documentary
Heavenly Creatures,Crime
Houseguest,Comedy
Immortal Beloved,Drama
Heavyweights (Heavy Weights),Children
"Hunted, The",Action
I.Q.,Comedy
Interview with the Vampire: The Vampire Chronicles,Drama
Jefferson in Paris,Drama
"Jerky Boys, The",Comedy
Junior,Comedy
Just Cause,Mystery
"Kid in King Arthur's Court, A",Adventure
Kiss of Death,Crime
Star Wars: Episode IV - A New Hope,Action
Little Women,Drama
"Little Princess, A",Children
Ladybird Ladybird,Drama
Like Water for Chocolate (Como agua para chocolate),Drama
Legends of the Fall,Drama
Major Payne,Comedy
My Crazy Life (Mi vida loca),Drama
Love Affair,Drama
Losing Isaiah,Drama
"Madness of King George, The",Comedy
Mary Shelley's Frankenstein (Frankenstein),Drama
Man of the House,Comedy
Mixed Nuts,Comedy
Milk Money,Comedy
Miracle on 34th Street,Drama
Miami Rhapsody,Comedy
My Family,Drama
Murder in the First,Drama
Nobody's Fool,Comedy
Nell,Drama
New Jersey Drive,Crime
New York Cop (Nyû Yôku no koppu),Action
Beyond Bedlam,Drama
Nina Takes a Lover,Comedy
Natural Born Killers,Action
Only You,Comedy
Once Were Warriors,Crime
Poison Ivy II,Drama
Outbreak,Action
Léon: The Professional (a.k.a. The Professional) (Léon),Action
"Perez Family, The",Comedy
"Pyromaniac's Love Story, A",Comedy
Pulp Fiction,Comedy
Pushing Hands (Tui shou),Drama
Priest,Drama
Quiz Show,Drama
Picture Bride (Bijo photo),Drama
"Queen Margot (Reine Margot, La)",Drama
"Quick and the Dead, The",Action
Roommates,Comedy
Ready to Wear (Pret-A-Porter),Comedy
Three Colors: Red (Trois couleurs: Rouge),Drama
Three Colors: Blue (Trois couleurs: Bleu),Drama
Three Colors: White (Trzy kolory: Bialy),Comedy
Rent-a-Kid,Comedy
Relative Fear,Horror
Stuart Saves His Family,Comedy
"Swan Princess, The",Animation
"Secret of Roan Inish, The",Children
"Specialist, The",Action
Stargate,Action
"Santa Clause, The",Comedy
"Shawshank Redemption, The",Crime
Shallow Grave,Comedy
Suture,Film-Noir
Strawberry and Chocolate (Fresa y chocolate),Drama
Swimming with Sharks,Comedy
"Sum of Us, The",Comedy
National Lampoon's Senior Trip,Comedy
To Live (Huozhe),Drama
Tank Girl,Action
Tales from the Crypt Presents: Demon Knight,Horror
Star Trek: Generations,Adventure
Tales from the Hood,Action
Tom & Viv,Drama
Village of the Damned,Horror
Tommy Boy,Comedy
Vanya on 42nd Street,Drama
Underneath,Mystery
"Walking Dead, The",Drama
What's Eating Gilbert Grape,Drama
Virtuosity,Action
While You Were Sleeping,Comedy
"War, The",Adventure
Double Happiness,Drama
Muriel's Wedding,Comedy
"Baby-Sitters Club, The",Children
Ace Ventura: Pet Detective,Comedy
"Adventures of Priscilla, Queen of the Desert, The",Comedy
Backbeat,Drama
Bitter Moon,Drama
Bullets Over Broadway,Comedy
Clear and Present Danger,Action
"Client, The",Drama
"Corrina, Corrina",Comedy
Crooklyn,Comedy
"Crow, The",Action
Cobb,Drama
"Flintstones, The",Children
Forrest Gump,Comedy
Four Weddings and a Funeral,Comedy
Higher Learning,Drama
I Like It Like That,Comedy
I Love Trouble,Action
It Could Happen to You,Comedy
"Jungle Book, The",Adventure
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)",Documentary
"Lion King, The",Adventure
Little Buddha,Drama
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)",Drama
"Mask, The",Action
Maverick,Adventure
Mrs. Parker and the Vicious Circle,Drama
Naked Gun 33 1/3: The Final Insult,Action
"Paper, The",Comedy
Reality Bites,Comedy
Red Rock West,Thriller
Richie Rich,Children
"River Wild, The",Action
Speed,Action
Speechless,Comedy
Timecop,Action
True Lies,Action
When a Man Loves a Woman,Drama
Wolf,Drama
Wyatt Earp,Western
Bad Company,Action
"Man of No Importance, A",Drama
S.F.W.,Drama
"Low Down Dirty Shame, A",Action
Boys Life,Drama
"Colonel Chabert, Le",Drama
Faster Pussycat! Kill! Kill!,Action
Jason's Lyric,Crime
Street Fighter,Action
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),Action
Federal Hill,Drama
In the Mouth of Madness,Horror
8 Seconds,Drama
Above the Rim,Crime
Addams Family Values,Children
"Age of Innocence, The",Drama
Airheads,Comedy
"Air Up There, The",Comedy
Another Stakeout,Comedy
Bad Girls,Western
Barcelona,Comedy
Being Human,Drama
"Beverly Hillbillies, The",Comedy
Beverly Hills Cop III,Action
Black Beauty,Adventure
Blink,Thriller
Blown Away,Action
Blue Chips,Drama
Blue Sky,Drama
Body Snatchers,Horror
Boxing Helena,Drama
"Bronx Tale, A",Drama
Cabin Boy,Comedy
Calendar Girl,Comedy
Carlito's Way,Crime
City Slickers II: The Legend of Curly's Gold,Adventure
Clean Slate,Comedy
Cliffhanger,Action
Coneheads,Comedy
Color of Night,Drama
Cops and Robbersons,Comedy
"Cowboy Way, The",Action
Dave,Comedy
Dazed and Confused,Comedy
Demolition Man,Action
Even Cowgirls Get the Blues,Comedy
Fatal Instinct,Comedy
Farewell My Concubine (Ba wang bie ji),Drama
Fearless,Drama
Fear of a Black Hat,Comedy
With Honors,Comedy
Flesh and Bone,Drama
Widows' Peak,Drama
For Love or Money,Comedy
"Firm, The",Drama
Free Willy,Adventure
Fresh,Crime
"Fugitive, The",Thriller
Geronimo: An American Legend,Drama
"Getaway, The",Action
Getting Even with Dad,Comedy
Go Fish,Drama
Hard Target,Action
Hot Shots! Part Deux,Action
Live Nude Girls,Comedy
"Englishman Who Went Up a Hill But Came Down a Mountain, The",Comedy
"House of the Spirits, The",Drama
House Party 3,Comedy
"Hudsucker Proxy, The",Comedy
I'll Do Anything,Comedy
In the Army Now,Comedy
In the Line of Fire,Action
In the Name of the Father,Drama
"Inkwell, The",Comedy
What's Love Got to Do with It?,Drama
Jimmy Hollywood,Comedy
Judgment Night,Action
Jurassic Park,Action
Kalifornia,Drama
Killing Zoe,Crime
Lassie,Adventure
Last Action Hero,Action
Life with Mikey,Comedy
Lightning Jack,Comedy
M. Butterfly,Drama
Made in America,Comedy
Malice,Thriller
"Man Without a Face, The",Drama
Manhattan Murder Mystery,Comedy
Menace II Society,Action
Executive Decision,Action
In the Realm of the Senses (Ai no corrida),Drama
What Happened Was...,Comedy
Much Ado About Nothing,Comedy
Mr. Wonderful,Comedy
Mrs. Doubtfire,Comedy
Naked,Drama
"Next Karate Kid, The",Action
No Escape,Action
North,Comedy
Orlando,Drama
"Perfect World, A",Crime
Philadelphia,Drama
"Piano, The",Drama
Poetic Justice,Drama
"Program, The",Action
"Puppet Masters, The",Horror
Radioland Murders,Comedy
"Ref, The",Comedy
"Remains of the Day, The",Drama
Renaissance Man,Comedy
Rising Sun,Action
"Road to Wellville, The",Comedy
RoboCop 3,Action
Robin Hood: Men in Tights,Comedy
Romeo Is Bleeding,Crime
Romper Stomper,Action
Ruby in Paradise,Drama
Rudy,Drama
"Savage Nights (Nuits fauves, Les)",Drama
Schindler's List,Drama
"Scout, The",Comedy
Searching for Bobby Fischer,Drama
"Secret Garden, The",Children
Serial Mom,Comedy
"Shadow, The",Action
Shadowlands,Drama
Short Cuts,Drama
"Simple Twist of Fate, A",Drama
Sirens,Drama
Six Degrees of Separation,Drama
Sleepless in Seattle,Comedy
Sliver,Thriller
Blade Runner,Action
Son in Law,Comedy
So I Married an Axe Murderer,Comedy
Striking Distance,Action
Super Mario Bros.,Action
Surviving the Game,Action
Terminal Velocity,Action
Thirty-Two Short Films About Glenn Gould,Drama
Threesome,Comedy
"Nightmare Before Christmas, The",Animation
"Three Musketeers, The",Action
Tombstone,Action
True Romance,Crime
"War Room, The",Documentary
"Pagemaster, The",Action
Welcome to the Dollhouse,Comedy
Germinal,Drama
Chasers,Comedy
Kika,Comedy
Bhaji on the Beach,Comedy
Little Big League,Comedy
"Ciao, Professore! (Io speriamo che me la cavo)",Drama
Spanking the Monkey,Comedy
"Little Rascals, The",Children
Andre,Adventure
"Escort, The (Scorta, La)",Crime
Princess Caraboo,Drama
"Celluloid Closet, The",Documentary
Dear Diary (Caro Diario),Comedy
"Brady Bunch Movie, The",Comedy
Home Alone,Children
Ghost,Comedy
Aladdin,Adventure
Terminator 2: Judgment Day,Action
Dances with Wolves,Adventure
Batman,Action
"Silence of the Lambs, The",Crime
Snow White and the Seven Dwarfs,Animation
Beauty and the Beast,Animation
Pinocchio,Animation
Pretty Woman,Comedy
"Wild Bunch, The",Adventure
Love and a .45,Action
"Great Day in Harlem, A",Documentary
One Fine Day,Drama
Candyman: Farewell to the Flesh,Fantasy
Fargo,Comedy
Homeward Bound II: Lost in San Francisco,Adventure
Heavy Metal,Action
Hellraiser: Bloodline,Action
"Pallbearer, The",Comedy
Jane Eyre,Drama
Bread and Chocolate (Pane e cioccolata),Comedy
"Aristocats, The",Animation
"Flower of My Secret, The (La flor de mi secreto)",Comedy
Two Much,Comedy
Ed,Comedy
"Thin Line Between Love and Hate, A",Comedy
"Last Supper, The",Drama
Primal Fear,Crime
All Dogs Go to Heaven 2,Adventure
Land and Freedom (Tierra y libertad),Drama
Denise Calls Up,Comedy
Theodore Rex,Comedy
"Family Thing, A",Comedy
Frisk,Drama
Sgt. Bilko,Comedy
Jack and Sarah,Romance
Girl 6,Comedy
Diabolique,Drama
Nelly & Monsieur Arnaud,Drama
Courage Under Fire,Action
Mission: Impossible,Action
Cold Fever (Á köldum klaka),Comedy
Moll Flanders,Drama
Dragonheart,Action
Eddie,Comedy
James and the Giant Peach,Adventure
Fear,Thriller
Kids in the Hall: Brain Candy,Comedy
Underground,Comedy
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite),Action
Song of the Little Road (Pather Panchali),Drama
"World of Apu, The (Apur Sansar)",Drama
Mystery Science Theater 3000: The Movie,Comedy
Space Jam,Adventure
Barbarella,Adventure
Some Folks Call It a Sling Blade,Drama
"Run of the Country, The",Drama
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution)",Drama
It's My Party,Drama
Operation Dumbo Drop,Action
Mrs. Winterbourne,Comedy
Solo,Action
"Substitute, The",Action
True Crime,Mystery
Feeling Minnesota,Drama
Delta of Venus,Drama
Angus,Comedy
Boys,Drama
"Quest, The",Action
Sunset Park,Drama
Mulholland Falls,Crime
"Truth About Cats & Dogs, The",Comedy
Oliver & Company,Adventure
Celtic Pride,Comedy
Flipper,Adventure
Dead Man,Drama
"Horseman on the Roof, The (Hussard sur le toit, Le)",Drama
"Visitors, The (Visiteurs, Les)",Comedy
Multiplicity,Comedy
Wallace & Gromit: The Best of Aardman Animation,Adventure
"Haunted World of Edward D. Wood Jr., The",Documentary
"Craft, The",Drama
"Great White Hype, The",Comedy
Last Dance,Drama
Cold Comfort Farm,Comedy
Heaven's Prisoners,Crime
"Rock, The",Action
Cemetery Man (Dellamorte Dellamore),Horror
Twister,Action
Barb Wire,Action
Ghost in the Shell (Kôkaku kidôtai),Animation
Thinner,Horror
Spy Hard,Comedy
Wallace & Gromit: A Close Shave,Animation
"Stupids, The",Comedy
"Arrival, The",Action
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy
Ashes of Time (Dung che sai duk),Drama
Maya Lin: A Strong Clear Vision,Documentary
Stalingrad,Drama
"Phantom, The",Action
Striptease,Comedy
Heavy,Drama
Jack,Comedy
I Shot Andy Warhol,Drama
Touki Bouki,Drama
Spirits of the Dead,Horror
Trainspotting,Comedy
'Til There Was You,Drama
Independence Day (a.k.a. ID4),Action
Stealing Beauty,Drama
"Fan, The",Drama
"Hunchback of Notre Dame, The",Animation
"Cable Guy, The",Comedy
Kingpin,Comedy
Eraser,Action
"Nutty Professor, The",Comedy
"Unforgettable Summer, An (Un été inoubliable)",Drama
"Last Klezmer: Leopold Kozlowski, His Life and Music, The",Documentary
Somebody to Love,Drama
Daylight,Action
"Frighteners, The",Comedy
Lone Star,Drama
Harriet the Spy,Children
Phenomenon,Drama
Walking and Talking,Comedy
She's the One,Comedy
"Time to Kill, A",Drama
American Buffalo,Crime
Alaska,Adventure
Fled,Action
Kazaam,Children
Larger Than Life,Comedy
"Very Brady Sequel, A",Comedy
"Collector, The (La collectionneuse)",Drama
Kaspar Hauser,Drama
"Adventures of Pinocchio, The",Adventure
Joe's Apartment,Comedy
"First Wives Club, The",Comedy
Ransom,Crime
High School High,Comedy
Foxfire,Drama
Chain Reaction,Action
Matilda,Children
Emma,Comedy
"Crow: City of Angels, The",Action
House Arrest,Children
"Eyes Without a Face (Yeux sans visage, Les)",Horror
Tales from the Crypt Presents: Bordello of Blood,Comedy
"Spitfire Grill, The",Drama
Escape from L.A.,Action
Basquiat,Drama
Tin Cup,Comedy
"Godfather, The",Crime
Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha),Action
Bound,Crime
Carpool,Comedy
Kansas City,Crime
Gone Fishin',Comedy
Nothing to Lose,Action
Supercop 2 (Project S) (Chao ji ji hua),Action
"Relic, The",Horror
"Island of Dr. Moreau, The",Sci-Fi
First Kid,Children
"Trigger Effect, The",Drama
Bogus,Children
Bulletproof,Action
Land Before Time III: The Time of the Great Giving,Adventure
1-900,Drama
Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers),Horror
Twelfth Night,Comedy
Mother Night,Drama
Wild Reeds (Les roseaux sauvages),Drama
For Whom the Bell Tolls,Adventure
"Philadelphia Story, The",Comedy
Singin' in the Rain,Comedy
"American in Paris, An",Musical
Funny Face,Comedy
Breakfast at Tiffany's,Drama
Vertigo,Drama
Rear Window,Mystery
It Happened One Night,Comedy
Gaslight,Drama
"Gay Divorcee, The",Comedy
North by Northwest,Action
"Apartment, The",Comedy
Some Like It Hot,Comedy
Charade,Comedy
Casablanca,Drama
"Maltese Falcon, The",Film-Noir
My Fair Lady,Comedy
Sabrina,Comedy
Roman Holiday,Comedy
"Little Princess, The",Children
Meet Me in St. Louis,Musical
"Wizard of Oz, The",Adventure
Gone with the Wind,Drama
My Favorite Year,Comedy
Sunset Blvd. (a.k.a. Sunset Boulevard),Drama
Citizen Kane,Drama
2001: A Space Odyssey,Adventure
All About Eve,Drama
"Women, The",Comedy
Rebecca,Drama
Foreign Correspondent,Drama
Notorious,Film-Noir
Spellbound,Mystery
"Affair to Remember, An",Drama
To Catch a Thief,Crime
Father of the Bride,Comedy
"Band Wagon, The",Comedy
Ninotchka,Comedy
Love in the Afternoon,Comedy
Gigi,Musical
"Adventures of Robin Hood, The",Action
"Mark of Zorro, The",Adventure
Laura,Crime
"Ghost and Mrs. Muir, The",Drama
Lost Horizon,Drama
Top Hat,Comedy
To Be or Not to Be,Comedy
My Man Godfrey,Comedy
Giant,Drama
East of Eden,Drama
"Thin Man, The",Comedy
His Girl Friday,Comedy
Around the World in 80 Days,Adventure
It's a Wonderful Life,Children
Mr. Smith Goes to Washington,Drama
Bringing Up Baby,Comedy
Penny Serenade,Drama
Of Human Bondage,Drama
Little Lord Fauntleroy,Drama
"Inspector General, The",Musical
"39 Steps, The",Drama
Night of the Living Dead,Horror
"African Queen, The",Adventure
Beat the Devil,Adventure
Cat on a Hot Tin Roof,Drama
Meet John Doe,Comedy
"Farewell to Arms, A",Romance
Nothing Personal,Drama
Dangerous Ground,Drama
Picnic,Drama
"Pompatus of Love, The",Comedy
Fly Away Home,Adventure
Bliss,Drama
Grace of My Heart,Comedy
Maximum Risk,Action
Michael Collins,Drama
Infinity,Drama
Big Night,Comedy
Last Man Standing,Action
Set It Off,Action
2 Days in the Valley,Crime
Extreme Measures,Drama
"Glimmer Man, The",Action
D3: The Mighty Ducks,Children
"Chamber, The",Drama
"Apple Dumpling Gang, The",Children
"Davy Crockett, King of the Wild Frontier",Adventure
Escape to Witch Mountain,Adventure
"Love Bug, The",Children
Herbie Rides Again,Children
Old Yeller,Children
"Parent Trap, The",Children
Pollyanna,Children
Homeward Bound: The Incredible Journey,Adventure
"Shaggy Dog, The",Children
Swiss Family Robinson,Adventure
That Darn Cat!,Children
"20,000 Leagues Under the Sea",Adventure
Cool Runnings,Comedy
Angels in the Outfield,Children
Cinderella,Animation
Winnie the Pooh and the Blustery Day,Animation
"Three Caballeros, The",Animation
"Sword in the Stone, The",Animation
Robin Hood: Prince of Thieves,Adventure
Mary Poppins,Children
Dumbo,Animation
Pete's Dragon,Adventure
Bedknobs and Broomsticks,Adventure
Alice in Wonderland,Adventure
"Fox and the Hound, The",Animation
Freeway,Comedy
"Sound of Music, The",Musical
Die Hard,Action
"Lawnmower Man, The",Action
"Secret Agent, The",Drama
Secrets & Lies,Drama
That Thing You Do!,Comedy
To Gillian on Her 37th Birthday,Drama
Beautiful Thing,Drama
"Long Kiss Goodnight, The",Action
"Ghost and the Darkness, The",Action
Looking for Richard,Documentary
Trees Lounge,Drama
Normal Life,Crime
Get on the Bus,Drama
Shadow Conspiracy,Thriller
Jude,Drama
Everyone Says I Love You,Comedy
William Shakespeare's Romeo + Juliet,Drama
Swingers,Comedy
Sleepers,Thriller
Aladdin and the King of Thieves,Animation
Shall We Dance,Comedy
Crossfire,Crime
Willy Wonka & the Chocolate Factory,Children
"Innocents, The",Drama
Sleeper,Comedy
Bananas,Comedy
"Fish Called Wanda, A",Comedy
Monty Python's Life of Brian,Comedy
Victor/Victoria,Comedy
"Candidate, The",Drama
"Great Race, The",Comedy
Bonnie and Clyde,Crime
"Old Man and the Sea, The",Adventure
Dial M for Murder,Crime
Dirty Dancing,Drama
Reservoir Dogs,Crime
Platoon,Drama
Weekend at Bernie's,Comedy
Basic Instinct,Crime
"Doors, The",Drama
"Crying Game, The",Drama
Glengarry Glen Ross,Drama
Sophie's Choice,Drama
E.T. the Extra-Terrestrial,Children
"Christmas Carol, A",Children
Days of Thunder,Action
Top Gun,Action
Rebel Without a Cause,Drama
"Streetcar Named Desire, A",Drama
Children of the Corn IV: The Gathering,Horror
Loser,Comedy
Microcosmos (Microcosmos: Le peuple de l'herbe),Documentary
Palookaville,Action
"Funeral, The",Crime
"Single Girl, A (Fille seule, La)",Drama
"Eighth Day, The (Huitième jour, Le)",Drama
Drunks,Drama
"People vs. Larry Flynt, The",Comedy
Glory Daze,Drama
"Perfect Candidate, A",Documentary
On Golden Pond,Drama
"Return of the Pink Panther, The",Comedy
Drop Dead Fred,Comedy
"Abyss, The",Action
"Fog, The",Horror
Escape from New York,Action
"Howling, The",Horror
Jean de Florette,Drama
Manon of the Spring (Manon des sources),Drama
Private Benjamin,Comedy
Monty Python and the Holy Grail,Adventure
Hustler White,Romance
Entertaining Angels: The Dorothy Day Story,Drama
"Line King: The Al Hirschfeld Story, The",Documentary
When We Were Kings,Documentary
Wallace & Gromit: The Wrong Trousers,Animation
"Return of Martin Guerre, The (Retour de Martin Guerre, Le)",Drama
Lesson Faust,Animation
"Children Are Watching Us, The (Bambini ci guardano, I)",Drama
"Tin Drum, The (Blechtrommel, Die)",Drama
"Ruling Class, The",Comedy
Mina Tannenbaum,Drama
Dear God,Comedy
Best of the Best 3: No Turning Back,Action
Bob Roberts,Comedy
Cinema Paradiso (Nuovo cinema Paradiso),Drama
"Cook the Thief His Wife & Her Lover, The",Comedy
Delicatessen,Comedy
"Double Life of Veronique, The (Double Vie de Véronique, La)",Drama
Enchanted April,Drama
Paths of Glory,Drama
"Grifters, The",Crime
Hear My Song,Comedy
"English Patient, The",Drama
Mediterraneo,Comedy
My Left Foot,Drama
"Sex, Lies, and Videotape",Drama
Passion Fish,Drama
Strictly Ballroom,Comedy
"Thin Blue Line, The",Documentary
Tie Me Up! Tie Me Down! (¡Átame!),Crime
Madonna: Truth or Dare,Documentary
Paris Is Burning,Documentary
One Flew Over the Cuckoo's Nest,Drama
Cheech and Chong's Up in Smoke,Comedy
Star Wars: Episode V - The Empire Strikes Back,Action
"Princess Bride, The",Action
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),Action
Brazil,Fantasy
Aliens,Action
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)",Action
Withnail & I,Comedy
12 Angry Men,Drama
Lawrence of Arabia,Adventure
"Clockwork Orange, A",Crime
To Kill a Mockingbird,Drama
Apocalypse Now,Action
Once Upon a Time in the West (C'era una volta il West),Action
Star Wars: Episode VI - Return of the Jedi,Action
"Wings of Desire (Himmel über Berlin, Der)",Drama
"Third Man, The",Film-Noir
Goodfellas,Crime
Alien,Horror
Army of Darkness,Action
"Big Blue, The (Grand bleu, Le)",Adventure
Ran,Drama
"Killer, The (Die xue shuang xiong)",Action
Psycho,Crime
"Blues Brothers, The",Action
"Godfather: Part II, The",Crime
Full Metal Jacket,Drama
"Grand Day Out with Wallace and Gromit, A",Adventure
Henry V,Action
Amadeus,Drama
"Quiet Man, The",Drama
Once Upon a Time in America,Crime
Raging Bull,Drama
Annie Hall,Comedy
"Right Stuff, The",Drama
Stalker,Drama
"Boot, Das (Boat, The)",Action
"Sting, The",Comedy
Harold and Maude,Comedy
Trust,Comedy
"Seventh Seal, The (Sjunde inseglet, Det)",Drama
Local Hero,Comedy
"Terminator, The",Action
Dead Alive (Braindead),Comedy
Glory,Drama
Rosencrantz and Guildenstern Are Dead,Comedy
Manhattan,Comedy
Miller's Crossing,Crime
Dead Poets Society,Drama
"Graduate, The",Comedy
Touch of Evil,Crime
"Femme Nikita, La (Nikita)",Action
"Bridge on the River Kwai, The",Adventure
8 1/2 (8½),Drama
Chinatown,Crime
"Day the Earth Stood Still, The",Drama
"Treasure of the Sierra Madre, The",Action
Bad Taste,Comedy
Duck Soup,Comedy
Better Off Dead...,Comedy
"Shining, The",Horror
Stand by Me,Adventure
M,Crime
Evil Dead II (Dead by Dawn),Action
"Great Escape, The",Action
"Deer Hunter, The",Drama
Diva,Action
Groundhog Day,Comedy
Unforgiven,Drama
"Manchurian Candidate, The",Crime
Pump Up the Volume,Comedy
Arsenic and Old Lace,Comedy
Back to the Future,Adventure
Fried Green Tomatoes,Comedy
Patton,Drama
Down by Law,Comedy
Akira,Action
Highlander,Action
